Anosmia,Cough,Fatigue,Diarrhoea,Breath shortness,Fever,count,letter
True,False,False,False,False,False,140,a
False,True,False,False,False,False,57,b
False,True,True,False,False,False,179,c
False,True,True,False,True,False,22,d
False,False,True,False,True,False,10,e
False,False,True,True,False,False,43,f
True,False,True,True,False,False,64,g
True,False,True,False,False,False,281,h
True,True,True,True,False,False,41,i
True,True,True,True,True,False,18,j
True,True,True,False,True,False,26,k
True,False,True,False,False,True,46,l
False,False,True,False,False,False,198,m
True,False,True,True,False,True,17,n
False,False,False,False,False,True,11,o
False,False,True,False,False,True,28,p
True,True,True,False,False,True,69,q
False,True,True,False,False,True,54,r
True,True,True,False,True,True,17,s
True,True,True,True,True,True,23,t
True,True,True,True,False,True,50,u
False,False,True,True,False,True,12,v
False,True,True,True,False,True,17,w
False,True,True,True,True,True,8,x
False,True,True,False,True,True,11,y
False,True,True,True,True,False,7,z
False,True,True,True,False,False,31,A
False,True,False,False,True,False,1,B
False,False,False,False,True,False,5,C
False,False,False,True,False,False,12,D
False,True,False,True,False,False,7,E
True,True,True,False,False,False,259,F
